content,labels
"마이너스는 ㄹㅇ 구하기 힘들텐데.... 내 고등학교 동창이 마이너스  A이긴 한데, 지금 연락이 안 된다.....안타깝네.....",0
애미뒤진 개돼지틀딱새끼들 가스실 쳐넣어야된다 ㅋㅋㅋ,2
정치적으로 그만 이용하시고 경제그만 망치고 그자리에서 내려오세요 말쩡한 원전은 왜 탈퇴했는지 궁금하네요,0
신성록 말 왜케 잘햌ㅋㅋ,0
끽해야 보조전력 정도 = 팩트 환경보존위헤 = 팩트 원전 대체한다고 = 팩트 산 다 밀어버리고 설치 = 선동 개빡대가리 = 팩트,0
윤식당을 못넘기네! 허긴 태호가 뺄갱이냄새가나니...,1
안끝났어도 그게임 이미 터져서 졌어 병신아 그리고 잘큰 자야 카밀이 자기집 억제기 앞에서 대놓고 저러고 있는데 안끝난다 ㅇㅈㄹ하네 이씨발년이 게임은 하냐?,1
주작이었음 좋겠다,0
뭔 18 쳐먹다가 방송 끝내냐 그냥 혼자 쳐먹어 방송하지말고 면상은 생기다가 만년이 ㅉㅉㅉ,1
수간호사 비율도 남자들 맞춰라 ㅅㅂ 페미민국,0
연세대 학부모 ㅡ 애들 보고 싶은듯 ㅡ 한국에 아들 보러오실듯,0
웬만하면 적은 안만드는게 좋다,0
창렬하네,0
와 씨 방금 내가 단 댓글도 안보이네 ㅋㅋ,0
우파와 특정 종교에 비난의 화살을 돌리고자 획책했던 모지리 양아치 정권. 왜 아직도 중국인과 러시아 인입국을 허용하니?...중국은 야직도 우리나라 사람 입국 거부하는데?....빙신 아니냐?,0
역시 이게 진짜지,0
좆문가들 작년 msc우승 슥 점치던애들임,1
아니 뭘 또 구구절절하게 찌끄려놨노ㅋㅋㅋ,0
허언증,0
햐~~~ 시발 욕나오네,1
인싸감성이야,0
딱봐도 전손이네ㅋㅋㅋ 하여간 허영심만 그득한것들은ㅋㅋ,0
고정관념을 바꿔서 생각해라 내가 힘든만큼상위10퍼 말고 90퍼가 힘들게 산다는거한혜진씨 정도면 이제 힘든건 다지나갔어요,0
돼지같은 아줌마보다 훨씬 이쁨 ㅋㅋ,0
근데 뇌물 받고 자살한거 팩트고 쌀로 핵 만들게 도와준 슨상님도 팩트고 고인가지고 성역화하면서 선동하는것도 팩트 맞는데?,0
첫댓 2댓 3댓 다 동일인물 ㅋㅋ,0
직캠딸처벌 ㅋㅋㅋ 빅브라더노?,0
여자는 얼굴보다 요리실력. 근데 얼굴도 이쁘심.,0
교사야 뭐 그냥 다운받아서 틀어주고 다른거 햇겟지 ㅋㅋ,0
광기가느껴지는데 맘마통땜에 모르겟어,0
이거숸...냥념같은 거쥐요...허허헣허헣 접쩝쩝..허허허헣 마신눈 냥념이요...쩝쩝,0
위에 페독들 ㅂㄷㅂㄷ하는거 보니 꿀잼이노 ㅋㅋ,0
가즈야,0
그렇다고 거부하면 법적 처분을 받느냐? 해보라 해 ㅋㅋㅋ 저딴게 무서워서 환불하면 인터넷 쇼핑 못하지,0
나스가 좋아하는 톤,0
여성/여성징병/여성용 나오네,0
솔까 노래는진짜좋았다 정준영도그렇고 얘네도그렇고 하지말라는짓만안했으면 . .아티스트로서는 안타깝다,0
우리모두 평화통일하고 김정은 통일조선 대총통님을 모시자!,0
여괴는 확실이 흑발이 어울려,0
빅뱅 몬스타엑스 방탄소년단은 엑소를 본받아야할듯... 바른 생활 아이돌의 정석...,0
강간이 저거보다 형량 더 낮겠노ㅋㅋㅋ,0
윤민수랑 결혼 ㄱ ㄱ,0
공침봄펄+에렌디라냐?,0
셰프라는 단어 보편적으로 쓰이게 만든 사람,0
일제강점기에도 미개한 조센징들은 꼬우면 미국으로 이민가라고 할사람이네? 누가 군대 해체하자고 했나? 강제징용만 없애라고 했지,1
이런거 보면 진짜 간첩이 우리 생활권에 침투해있는거 같어,0
와 키가 저러면 청소하거나 뭐 정리할 때 진짜 편하겠다,0
금태양 ㅇㄷ?,0
오창석 이채은 너무 잘어울려요. 영원하시길. 너무 비쥬얼. 이뽀요 둘이 완죤 잘 어울려요 ㅎㅎ,0
일본 메이드 협회에서 무수한 악수의 요청이,0
병가 나가는 거 지휘관 재량으로 바뀌었으니까 걍 존나 어필하면 됨,0
열두달 동안 다이어트 한거??ㅋ,0
그전에 담갈은 갈드컵 한적이 없다 왜 담원이 우승했는데 대깨맥이랑 슼갈만 싸우냐고 담원 = 우승원툴이라고 개추 2천개 박힌것도 있는 판국에,0
너무 어리면 대화가 안맞고 피곤할텐데.. 3명이라 다르려나?,0
막짤 호옹이같은데,0
군병원 외진은 그냥 뭐 놀러가는 수준이고 중요한 수술은 민간병원 가야됨 ㄹㅇ,0
와 개귀엽네 왤케 잘함???,0
길거리 고양이 입양 안하는이유,0
노동시간 차이와 직종 차이는 최대한 똑같은 상황이서 성별에 따른 차이만 가지고 비교해야 제대로 된 결과가 나온다는건 기본 중의 기본 아니냐?,0
지금이야 망했지 한 10년정도는 탑이었을걸,0
그저...셴징,2
한동숙 아직도 돌깎는 영상 올리고있네,0
ㅎㅎ좃선하는짓이 허위사실로 폭로하고 확대 재생산했다가 사실이 아닌거로 나타나면 논점을 바꿔 비난하고 그것도 다하면 허위사실 폭로한 잡것에 대해 네티즌이 비난하면 그걸가지고 또 비난기사.니들 패턴이 뻔하다만 비열한 짓거리 역겹다.따박따박 고소해야 이런 쓰레기 기사들이 사라질듯...,1
나존나궁금한ㄱㅔ있는데 왜 슥통피임?,0
군위오씨 오타니,0
쓸데없다는 근거 ㅇㅈㄹ 하는거 보니까 철분싸개 확실하노 ㅇㅇ,1
부당할게 없는데.. 하는게 없잖아,0
근데 왜 이제 와서 이사단 난거냐. 문재앙시키 또 뭔가 숨기는거 아니야,1
와 신불당 집값비싸서 좋은 차 많을탠데 좆됬네 진짜 사람은 괜찮나,1
오타인거 같긴 하지만 ㅎ받침 존나 비틱같네.,0
미쳤다 진짜개미쳤다!!!,0
존예고만 어디가 안예뻐;;;,0
대놓고 사기치고서 당당한거 보니 뒤에 문재앙 있을듯,1
"병신임? 이명박이 천안함 지혼자 침몰했니 암초박았니 이지랄하는 니같은 버러지새끼들 아닥하게 만들라고 저명한 전문가들 다 모셔와서 팩트 밝혀냈는데? 두루뭉술하게 ""명박이가 천안함때 한거보면 그런말 안나올텐데? 도찐개찐임"" 이런식으로 전형적인 좌빨식 물타기 선동하는거 개씹토나오네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1
밥묵자~~,0
동물은 혼자서 사냥할수 있으면 독립한다. 이미 충분히 혼자서 잘하고 있는걸? 대물림을 끊고 독립해서 나오자. 열심히 잘살고 있네. 응원한다.,0
이게 인생이지 ㄹㅇ ㅋㅋ,0
????? 머야 저거,0
ㅋㅋㅋ싱크 잘 맞고 퀄 좋네,0
"해방때 중딩, 625때는 거의 20살이심 ㄷㄷ",0
소율이한테 많은걸 보고 배웠구나ㅎ,0
뭐 밥주자는것도 아니고 그냥 학대하지 말라는거니간 너무 삐딱하게 받아들일 필요는 없다고 봄 괜히 시발 길가는데 동물 사체봐서 좋을것도 없고 사람새기라면 시발 아무감정도 없는거면 그게 사람새기냐,0
만든새끼 머가리 따야함,0
낙타쌤?,0
ㅋㅋㅋ으이그... 진짜 정신병자들 많다,0
맞는 말이건 틀린 말이건 일단 해당 챈 정서에 반대되는 말을 해서는 안된다,0
침싸개들은 연예인 뜻도 모르노? ㅋㅋㅋ,0
까칠남녀 저거 오란만이네ㅋㅋㅋ,0
역시 스마조야 나앤을 그냥 내버려두지 않는 저 심성.ㅋㅋㅋ,0
대체 이런 좆만한 나라에 시의원은 왜뽑냐,1
"랄로 방송에서 ""캬"" 치는 애들 평균",0
노예가 자기 목걸이 밖에서도 자랑하고 싶다는데 뭐 어떰,0
죄송합니노,0
그림을 좆같이 그려놧노,1
그래픽 퇴화 개쩌네,0
이석기경기 연합을 여론조사 조작해서 해산시켰다며 빨갱이 옹호하는거야?,1
https://youtu.be/9WI_XNJenQg 무반동이 맞기는 함,0
진짜 공기업 노조들 저런 거 수두룩하다 ㅋㅋㅋ 쟤들만 저럴 거 같지?,0
이재용이 유승민한테 붙었네 대선 재밋겟노,0
미장성이 사령관역할도 대신해줘야하노 ㅋㅋㅋ,0
이건 흙수저가 아니라 걍 가정이 병신임 정땜에 남아있다가 니가 뒤져 걍 다 버리고 나와라,0
개지랄을 할수밖에없지 ;; 실수하면 본인이름에 먹칠하는건데,1
시크릿 Jew Jew,0
더조아,0
이상하게 급나눠서 사기가 싫음. 두종류로만 내지,0
조심하세요,0
와 대박이다 심지어 04년생이래완전 까마득^^,0
가족이었다면서 지인이었다면서 남보다 못한짓하는 주변사람보다 팬들이 백만배는 훌륭해보인다 김호중은 성공했네 든든한울타리 아리스가 있어서,0
스탠 리 라고 써라. 뒤에 마틴까지 붙일거 아니믄.,0
무슨 해외영화 보는 것 같네,0
대체 이 댓글에서는 왜 싸우고 있는거야,0
잘 때 얼굴에 낙서하면 죽는다는 썰,0
사원증을 꺼내놓던 자위를하던 뭔상관인데,0
신의탑같은게 요일1등먹는데 그냥 쳐발릴운명임,0
비싸면 부르지 말던가요~~왜 송가인한테 그러나요!!,0
애는 키워보고 이런소리하냐,0
아무나 잡아다 강간하고 죽이면 7년인거노?,0
나 닮아서 안이뻐서 다행..,0
잘만들었다 ㅋㅋㅋㅋ,0
샨샤댐은 철근 안빼먹었을까?,0
소워로 돌아와,0
어쩌면 집에서 텃밭으로 직접 농사짓는걸수더 있지않겠냐,0
외국인 혐오자 = 외국인이 한번도 되어 보지 않은 자 = 외국생활 여행 유학 등등 경험이 없는 자 = 문화적으로 경제적으로 뒤쳐진 부류 / 자기가 외국인이 되어본 사람이면 저렇게 무지막지한 짓은 못함. 반대야 경제적 이득으로 인한것이라고 이해 하지만 쓰레기니 뭐니 욕하는것들 자체가 걍 저런 부류들이라는걸 증명,0
현대차에 돈 먹고 광고하는 기사 같음..,0
진짜 핵고수;,0
물냐,0
부럽다. 나도 소간지랑 저 집에서 살고.....시프네요ㅠ,0
범죄자들이 큰소리치는 개같은나라,0
사람을 화나게 하는 방법이 세가지가 있는데 첫번째는,0
의외로는 개뿔. 미개한 고추 범벅 한식보다 전세계적으로 유명한 음식이 의외로 맛있겠냐.,0
당연히 지들이 전염병 만들었으니까 백신개발할 수있었겠지...옘ㅂ 짱ㄲ,1
룪딸안치면 게임왜함ㅋㅋ,0
나 삼성전기건물 보수하러다닐때 잊어버릴까봐 매고 다녔었는데 ㅈㄹ이노,0
페티쉬도 지네 취향 아니면 죄다 범죄라 하겠네 ㅋㅋㅋ,0
별 시발 꺼릴 수 밖에 없는 죽음에 대한 터부를 갖고 미개하다 그러면 인류 문명에 안 미개한 곳이 어딨노 ㅋㅋㅋㅋㅋㅋㅋ 서구권은 6 존나 피하는데,0
비추 눌러버렸노..,0
와 미쳤다..,0
그만큼 개꼴리니까 벗겨서 더 꼴리게 해주세요,1
자세를 고쳐앉으라더니 참지 못하고 벤난사 ㅋㅋㅋㅋ,0
물론 정치 입문하고부턴 이미지 폭망했지만,0
첫짤부터 어지럽노 ㅋㅋㅋㅋㅋㅋ,0
얘 폭파된 갤길에 같이 있었던 길원이었는데 쵸큼 충격적이노... ㄷㄷㄷ,0
바뀌는건 없다...,0
키크고 서울대출신 금수저에 존잘이라 하루 번호 열번 따이는 새끼,1
틀린말좀하라고 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
역시 천사야,0
쟤네들은 글 안보고 그림만 보냐?,0
너땜에 생김 시발,1
돼지 스파이크는 등치가 아깝다 ㅋㅋㅋ,0
털털 매력 예쁜 한지민배우님,0
진짜 좆고수네,1
조두순은 ㄹㅇ 검사를 잘 만남. 검사가 병신이라서 항소조차 안 하고 12년 ok,1
저런거 할때 절대로 실명거론 안한다 ㅋㅋㅋ,0
수준이 전문가 수준 콘,0
연봉도 존나 혜자임 ㅋㅋㅋ,0
앉기 전 많은 생각이 들게하는 의자,0
상남자처럼 쌍욕박는 문화를 없애서 계집애들처럼 싸우는거임 ㅋㅋ,0
존나 보고싶노 진짜 ㅋㅋㅋ ㅋ,0
군의관 저 창놈도 보통 멘탈이 아니네 언론에서 들쑤시기시작하면 멘탈나가서 미안한 척이라도 하는데 저건 뭐 애미가창녀라 개새끼의 씨앗으로 태어나 저리 당당한가,2
응 이재명 뽑으면 해결돼,0
시발 전자를 스타같은걸 가져와야지 저런 듣보잡병신게임을 가져오니 리니지가 선녀잖아,1
전쟁나면 한녀부터 쏜다,2
1975년 당시 박정희 정부는 6·25때 터키군이 기도하던 한남동 부지 1천5백평을 이슬람인 교도들에게 주었다. 박정희 전 대통령은 중동 이슬람 국가들과의 우호적 관계를 위해 사원 터를 무상 제공했다. 진짜노 ㅋㅋㅋ 개씹구이새끼들 진짜 멍청하노,0
ㄹㅇ 놈 예뽀,0
니같은백수가뭘아노..,0
이런 김정은 똥꼬빠는 문재인은 제정신이아닌거겠지? 인권변호사였던 인간이고 대통령인데 또 행방불명에 눈차보고 아무말못하고 주둥이 닫고있겠지,0
무직 P싸게 통한의 불평불만ㅋㅋ,1
만약잃어버렸다고해도 열쇠공이 와서따주면되,0
챗차단을 하셈,0
예상하고 들어와서 정색하려 했는데 씹 미치겠노 ㅋㅋㅋㅋ,0
나보다 작은것으로 기억하는데 왠182???장난하나??,0
구단이 돈을 존나씀,0
성경 거꾸로든거 귀엽네,0
"남자와 여자가 임금 격차가 있는지를 비교하려면 나머지 직종, 직급, 연차 같은건 다 똑같은 상황에서 남자와 여자의 차이만 있을때 임금격차가 나는지를 비교해야 하는거 아니냐?",0
ㄱㅅㄱㅅ,0
얼마나 사람들을 훔쳐보길래 그런게 눈에 들어오냐 ㅋㅋㅋ,0
첨에 구라인줄,0
참전군인 아니고 병영캠츠 갔다온 공익 ptsd겠지 ㅅㅂ,0
보통 약속한다는 손모양을 취할때는 새끼손가락만 펴지 누가 엄지손가락까지 저렇게 쫙 펴나 쉴드칠걸 쳐야지..,0
대통령 후보도 음주운전 햇는데 못할 이유가 뭐있노?,0
아프간에서 가장 위험한 직업은 군인 아니노... 직접 총들고 싸우는 군인이 있는데 뭔 기자가 가장 위험해. 아프간 군대는 다 도망가서 안싸운다는 얘긴가?,0
공주님이 잘생겼네요 여자 여럿 울리겠습니다ㅎㅎ,0
김밥천국 메뉴랑 비슷한데,0
그 고수 가지고 지랄들 하는 이유가 유전적인 이유 아닐까,0
기묘한 짬통. 대구에 사니까 지역감정이라고 말하지 말고,0
ㅇㅇ 미드그브 유행했었음,0
사진 2012년이구만 하고 최근사진 있나 보려고 검색해봤더니만 지금도 저 모습이고 2021년 동영상도 ㅈㄴ 많고 말도 또박또박 그냥 현역 사회인이다 ㄷㄷ,0
상자 옮기는 리제 개커엽네 ㅋㅋㅋㅋㅋ,0
여자들 와꾸도 별차이 없음,0
반갑노 게이야 담당교수님 누구고,0
ㄹㅇ 냉동피자 은근히 맛있음,0
군침이 싹도노 콘,0
클레 불쌍해 ㅠ,0
박보영 그동안 케미여왕이란 수식어까지 붙었었는데....캐스팅 아쉽다..,0
"한녀들 아이돌가지고 bl물소설, 성적대상화하는건 당연한데 직캠딸치는건 더럽대 내로남불이 패시브네 시발련들",1
ㅋㅋㅋㅋ4살이네,0
ㅈㄴ웃기노ㅋㅋㅋㅋㅋ,0
켤쳐랜드 시발ㅋㅋㅋ,1
그게 머임?? 먼 작전 있었음?,0
메갈악마 살인년땜에 구하라 악플 로죽이고 기자탓하는 악마년들 기사 마다 악마년들 악플뿐이고 뉴스파이터도 설리 메ㅣ갈년범인이고 구하라 도 살인년이고 악플기사에성비여자가70프로80프로 넘어가는 살인년들 한효주 한수민도그렇고 조금만이쁘면여적여짓으로 열폭 괴롭히는 쑤레기들나중에 벌받을거다,1
어케 치확이 한번도 안 붙냐 ㅋㅋㅋ,0
군의관들도 양심 있는 양반들은 엑스레이 보더니 걍 밖에 나가서 하라고 목소리 작게 권유하더만ㅋㅋㅋ,0
우리아빠랑 똑같노ㅠㅠ,0
근데 쟤는 중화기 쏘는데 헬맷도 안쓰네.,0
왤케 댕라 꼴리게 잘 그림?,0
현재 페미 꼬라지 생각하면 그렇게 생각해도 무방할듯,0
빨깽이 짱꼴라 똥슬람 퇴치하는 애국보수 도시,1
t1떡밥 올라오면 또 자연스레 소붕쟝 그거 얘기나오는데..txt,0
올 여름 엄청 덥다고 하더니 비만 주구장창 오더만 ㅋㅋㅋ,0
흙인데 부모님이 나는 존나좋아하신다 내가봤을땐 흙특이 아니라 학대특임 빨리 나가라 동생델고 나가던지 델고나가면 동생 자연치유될듯,0
저거 골빈 20대 여자들 풍자한건데 저 캡쳐짤만 보고 욕하는 놈들 수준보소,0
조은정씨 이뻐요~~ ㅎㅎ,0
미국 있을때 어그로라도 존나게 끌면서 자기 목소리라도 낸새끼면 몰라도 나라 좀 안정적일땐 쥐죽은듯이 숨어살다가 이제와서 자기 뒤질거같으니까 나좀 도와주소 하는새낀데 으휴,0
개병신같오,1
분노의근첩대깨문ㅋㅋ,1
ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,0
우리가 주작인걸 어케알아시발,0
가끔 댓글같은걸로 등판하더라 인증이없으니  당연히 등판 당시엔 모르는데 지나고보면 테스터아니면 모르는말을 하는 애들이 가끔있었음,0
팩트)이미 봄,0
좀 녹여,0
ㅇㅎ글쿠만,0
ㄹㅇ ㅋㅋㅋ 이근: 인성문제있어? ㅋㅋㅋ,0
기상청 하는일 날씨보고 그냥 바꾸면됨 진짜 해도해도 너무할정도로 안맞음 비온다고했다가 일정다취소하면 쨍쨍해서 다시 보면 바꿔놨음니네들 하는일이 뭐냐 진짜??,0
일요날보고 화요일날 이해했습니다,0
비메모리 반도체 관련업체 매도 리포트...,0
공무원연금 국민연금에서 삥뜯는것에서부터 되게 지들이 국민에게 봉사하는것처럼 생각하고 꼬운게 한두가지가아녀,0
그건 내가 쓰고.,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 얼탱이가없네,0
제익이형님이 나오다니ㅜㅜ 굿,0
참가상 관련 문의 인게임 메세지 주셨나여,0
아 여기 올렸구나. 자게서도 보고 했음. 화이팅.,0
"어차피 저기서 전기를 얼마나 생산하든 원전과 화력발전은 최대 전력수요량을 고려해서 24시간 돌려야 하기 때문에 전부 다 버려지는 전기다. 날씨 좋은 날은 태양광이 잘되니 원전, 화력발전을 줄이고 구름낀 날은 늘리는 그런건 불가능함. 즉 국가 전체적으로 따져보면 태양광 발전은 하면 할수록 무조건 손해다.",0
시그 법무팀에 보여주면 아주 좋아하겠네,0
ㄴ팩트 - 저지랄 안나려고 북한과 전쟁하고 나라발전시킨게 한남이다,1
이러다 개천절에 또 정신병자들 광화문으로 튀어나오면...,0
쫘좡면 뭑고 슆다둰가 뭐 그뤈 소원 없숴요? 허허,0
5년차트 봐라 지금도 꼭대기임 ㅋㅋㅋ,0
놀람이 안나오네 ㅋㅋ,0
이국종도 지난번에 욕처먹을짓 했잖아이재명 탄원서 제출한거 ㅋㅋㅋ난 그거 보고 아 저분도 그짝이겠다싶었다,0
스크랩 해놨음 재료 참고해야지,0
자지 발딱 섰다,1
싹 모아서 인실좆 가죠...,0
수영복에서도 투표에서도 선택받지 못한 딜런,0
국주언니같은 능력있는 천상여자가 결국 잘생기고 키크고 돈많은 남자 만나게되있음~ 꼭 능력없는 것들이 ㅋㅋ 니들은 이런사람 못만나 ㅋ 거울좀보길.....^^;,0
기자들 이쯤 되면 대본 의심 해봐야된다 ㅇㅇ,0
"우리 고모도 저래서 주변에서 다 놀람, 이제 50대 중반이신데 대학교때 사진이랑 거의 변한게 없음 ㅋㅋ",0
재미잇어,0
ㅇㅇ 존나커짐. 이제 국내가 아니라 세계시장 진출 중,0
너무커여워,0
성대 중대가 훌리력 개쩌는거 아냐? 급의 문제가 아니더라,0
대배우님 절대 잘못한 거 없어요 힘내세요,0
만화탄압 중단해라 아청법2조 5호로 야한만화탄압하더니 이제 밖지 않는데도 유두노출도 안되는데 탄압하냐 이 페미18년들아 여기는 자유민주주의국가다,1
편의점에서 파는 싸구려 샌드위치보다 더 맛있이보임,0
친구도 없고 생각도 없고 머리카락도 없고 어머니는 많고,0
근데 그만큼 일반인 기준으로는 여기가 거기 같고 저기가 거기 같음..,0
딸치라고 만든 영상들 보는거 금지시켰잖아 씨발년아,1
무력도르도 8위딱이면 걍 서밋 하위급 취급당한다 쵸비는 항상 무력으로 다 찍어누르고 다녔음? 못할때도 확실히 있었는데,0
공부해라 좆병신같은 삶을 살고싶지 않으면 다커서 디시질해라 좀 인생 1인분할때,1
좆이돌빠는 병신육수새끼들 지들 존나한심한 버러지짓거리 욕하면 바로 피싸개로 몰아가는거 존나웃기노 ㅋㅋㅋ 씹덕새끼들 그림쪼가리 보고 딸치는거보다 니들이 더 앰생버러지같은게 팩트임 ㅋㅋ,2
씻...시..팔,1
"왠만한 곳에서는 풍력, 태양광 보다 더 안나와",0
친구라도 밥 줬으면 그래도 욕 덜 처먹었을텐데 그냥 좆까라네 ㅋㅋ,1
두배씩 하는 새끼들은 좆나 천재거나 틀어놓고 딴짓거리 하는 새끼들이지,1
저 남자새끼 관상이 너무 드러워서 안보는 프로,0
대구 시장 권영진 하는 꼬라지 보니깐,0
울리그는 브세 리그팟을 엪넬님들이 지배했는데 ㄷㄷ,0
쿵쾅이들이 또오오?,1
대단한(?) 사람,0
마약 안 했다잖아 시래기들아 어느 팬이 와서 어그로질이냐,0
ㅇㅇ 눈썹이랑 머리만 깔끔해도,0
이감독은 어떻게 이런 생각들을 하는거지....,0
0랩 새끼들은 닥치자,0
아프간대통령=라디오로 선동방송하면서 희망고문하면서 지들끼리 수도 버리고 튀진않음 ㅋㅋ,0
각진게 이쁘노 패치로 나와도 손색없을거 같다,0
강호동 뺨 때리는 김종민.gif-50메가/스압,0
스토리상 꼬맹이들이랑 같이 있어서 약간 기대한 것도 있고 아직 서약대사 관련해서 없다보니까 약간 아쉬웠었음 ㅋㅋ 그것과 별개로 알비스 자체는 어린이로 치지 않는 건 맞긴 해,0
황로드 ㅋㅋㅋ 유쾌하다,0
원래 샴푸향으로 먹는게 아닌데 한국사람이 먹으면 샴푸향남 유전적인 이유인듯,0
감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다,0
안티페미였으면 여성척결(?)이 나왔을 텐데 평소에 무슨 생각하고 사누ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
정말 축하해요~~,0
이재명 = 매운맛 이지만 애처럼 일잘하는애 없음,0
대동아 공영권ㄷㄷ,0
코윤하 왤케비슷함 ㅋㅋㅋ,0
역대급 허위매물,0
똑똑똑 나랑께,0
평화를 좋아하는 민족이지만 일본하고의 평화는 바라지 않는 모순적인 민족 ㅋㅋㅋ 훈련 자체가 평화 유지를 위한건데 훈련이 평화를 방해한다는 애미뒤진 프레임 만들다 보니 생겨난 모순 ㅋㅋㅋ 존나웃기노,0
공부잘했는데? 의대 붙고 안갔는데. 지금 내 나이때 의사들 설대 의대 빼고는 전부다 나보다 공부 잘했던 놈 없음.,0
파라과이!,0
애초에 트럼프가 빡대갈짓 할뻔한거 막으려고 미의회가 국방수권법으로 막아놔서 감축없음 ㅅㅅ,0
애기들 두시간마다 깨서 우는거 하루만 케어해보면 절대 이소리 못함 이런거 있었으면 내가 먼저 사자고 했겠다 이런애들 보면 페미년들이랑 다른게 뭐냐? 결혼도 못하고 여자도 못사귀어본 번식탈락한 새끼가 머릿속으로 실제랑 다른 여자상 만들어놓고 '마누라들 이럴 것이다' 하는게 페미년들 하는짓이랑 똑같은거 아님?,1
할짝,0
리월다운 일처리 ㄷㄷㄷ,0
니들 병신이냐? 진짜 ㅈㄴ웃기네 저거 해달 따라한거잖아진짜 뇌에 주름 다폈냐 ㅂ11ㅅ새111끼들,1
근데 아저씨처럼 저런건 안 써요 ㅋㅋㅋㅋ,0
운지포인트는 들어봤는데 머지포인트는 ㄹㅇ 처음들어봄,0
보니깐 경고는 하던데? 파키스탄에서 중국인들 탄 버스 테러당했자나 중국한테 ㅈㄴ 지원 받은 다음 통수칠 준비하는 게 눈에 선하다 ㄹㅇ,0
다시보니 선녀같다,0
퍄,0
천한 것,0
여러분은 안전합니다. 절대 도망가지 마세요.는 와전된 날조가 맞다. 런승만은 서울을 사수했다. 국민 여러분 안심해라. 국군들은 미군이 오고 있으니 열심히 싸워라 라고 말했다. 근데 이 말을 하고 그가 서울을 빠져 나간것도 사실이다. 때문에 당시 서울 국민들이 이승만에게 배신감을 느낀것도 사실이다. 그 와중에 채병덕이 인도교를 폭파시키면서 이승만을 향한 분노가 하늘을 찔렀고 서울은 안전하고 절대 도망치지 마라라는 말로 와전됐다.,0
이거저거 미국이 지나가기 힘든 단어들 싹 나열했네,0
이글쓴 작가의 정신상태가 궁금하네 ㅎㅎ 저런 상상을하면서 쓰면 본인도 멀쩡하지안을텐데ㅋㅋ미친 변태 구만,0
농심 갈듯,0
아 아냐 뒤에!! 뒤에!!!,0
갓겜되면 돌아와줘,0
축복인거같애 나머진 원하면 조지면 되자나,0
"맛집, 가격 혜자인집 특)내주변에만 없음",0
저거 땅 크크 콘도 직접 그린거임?,0
바나나몰은 매장있던데,0
이름이 여자네 생긴것도 기지베 같고,0
솔직히 조용남은 바지로 세워둔거지,0
ㅋㅋㅋ 14키로 뺄게 아니라.. 0하나 더 붙여서 140키로 빼야 하지 않음?? 보통 저런 몸은 임신도 힘들고..임신해도..차이가 없어 모르던데..출산까지 ㅋㅋㅋ 암튼 행복하게 잘 서시길~~~,0
읍읍!,0
들음 들을수록,0
좀 빳빳하고 두꺼운 걸로 종이 탄력자체를 이용한거 같음.,0
뽀나불쌍해,0
민초루 엄서,0
에고 김진아씨가 아깝당,0
대충 핵이쁜 자기캐릭 짤이 아니네,0
처음에 펭귄 띠용하는거 너무 귀여6워,0
뭐 nc주식 + 백신 접종이면 자살 할만 하지,0
이거 유튜브 채널이자너 걍 컨셉임,0
파딱 추카해,0
이게 바로 헬조선다운 엔딩이지 ㄹㅇㅋㅋ,0
아펠 드븐 상성 어케됨,0
한국 이슬람 중앙회의 통제를 벗어나는 행동을 절대로 용납해선 안됨 저거 짓는 새끼들 중 백중 구십팔구는 원리주의자 똘갱이일 확률 백퍼지 ㅋㅋㅋ,0
오뚜기피자냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
이정도로 분위기 안좋은줄 몰랐다 죄송하다 다음부터 잘 살펴보고 광고하겠다,0
메이저리그 최초 플레이인 탈락,0
과제 매주 있네 ㅋㅋㅋㅋ그래도 한번 면제권이면 ㅆㅅㅌㅊ지,0
홍상수♥김민희 알콩달콩 이쁜사랑하세요 ㅎㅎ 두분의 사랑을 응원합니다 ㅎㅎ,0
이게 사회 분위기가 저렇게 생각 안하는 여자라도 주변에서 너는 왜 님친이 이것 저거 안사주냐고 너 안사랑 하나봐 이런식으로 물타기 들어가니까 물드는거임 ㅋㅋㅋ,0
오빠는 천명훈 ㅋ,0
너무 예쁜부부이네요,0
"자기 터전, 자기 친지, 자기 정체성까지 다 버리고 빤스런한 게 난민들인데 뭘 기대했노? 난민새끼들은 유전적으로 일반인들과는 다름. 좆족들이 앰창새끼들인 것도 그런 이유에서임",1
그렇게 못하고 은퇴하면 크라운이나 폰정도로 끝일걸,0
봤어 이미,0
ㅅㅅ는 언제 하셨나요?,0
O형이라 미안해,0
